Space,Ceiling_Height,Label
Multipurpose,1.83,1
Multipurpose,1.83,1
Multipurpose,1.83,2
Multipurpose,1.83,2
Multipurpose,1.83,2
Multipurpose,1.83,2
Multipurpose,1.83,2
Multipurpose,1.83,2
Multipurpose,1.83,3
Multipurpose,1.83,3
Multipurpose,1.83,3
Multipurpose,1.83,3
Multipurpose,2.22,0
Multipurpose,2.22,0
Multipurpose,2.22,0
Multipurpose,2.22,0
Multipurpose,2.22,0
Multipurpose,2.22,0
Multipurpose,2.22,0
Multipurpose,2.22,0
Multipurpose,2.22,0
Multipurpose,2.22,0
Multipurpose,2.22,0
Multipurpose,2.22,1
Multipurpose,2.22,1
Multipurpose,2.22,1
Multipurpose,2.22,1
Multipurpose,2.22,1
Multipurpose,2.22,1
Multipurpose,2.22,1
Multipurpose,2.22,1
Multipurpose,2.22,1
Multipurpose,2.22,1
Multipurpose,2.22,1
Multipurpose,2.22,1
Multipurpose,2.22,1
Multipurpose,2.22,1
Multipurpose,2.22,1
Multipurpose,2.22,1
Multipurpose,2.22,1
Multipurpose,2.22,1
Multipurpose,2.22,2
Multipurpose,2.22,2
Multipurpose,2.22,2
Multipurpose,2.22,2
Multipurpose,2.22,2
Multipurpose,2.22,2
Multipurpose,2.22,2
Multipurpose,2.22,2
Multipurpose,2.22,2
Multipurpose,2.22,2
Multipurpose,2.22,2
Multipurpose,2.22,2
Multipurpose,2.22,2
Multipurpose,2.22,2
Multipurpose,2.22,2
Multipurpose,2.22,2
Multipurpose,2.22,2
Multipurpose,2.22,2
Multipurpose,2.22,2
Multipurpose,2.22,2
Multipurpose,2.22,2
Multipurpose,2.22,2
Multipurpose,2.22,2
Multipurpose,2.22,2
Multipurpose,2.22,3
Multipurpose,2.22,3
Multipurpose,2.22,3
Multipurpose,2.22,3
Multipurpose,2.22,3
Multipurpose,2.22,3
Multipurpose,2.22,3
Multipurpose,2.6,0
Multipurpose,2.6,0
Multipurpose,2.6,0
Multipurpose,2.6,0
Multipurpose,2.6,0
Multipurpose,2.6,0
Multipurpose,2.6,0
Multipurpose,2.6,1
Multipurpose,2.6,1
Multipurpose,2.6,1
Multipurpose,2.6,1
Multipurpose,2.6,1
Multipurpose,2.6,2
Multipurpose,2.6,2
Multipurpose,2.6,2
Multipurpose,2.6,2
Multipurpose,2.6,2
Multipurpose,2.6,2
Multipurpose,2.6,2
Multipurpose,2.6,2
Multipurpose,2.6,2
Multipurpose,2.6,2
Multipurpose,2.6,2
Multipurpose,2.6,2
Multipurpose,2.6,2
Multipurpose,2.6,2
Multipurpose,2.6,2
Multipurpose,2.6,2
Multipurpose,2.6,2
Multipurpose,2.6,2
Multipurpose,2.6,2
Multipurpose,2.6,2
Multipurpose,2.6,2
Multipurpose,2.6,2
Multipurpose,2.6,2
Multipurpose,2.6,2
Multipurpose,2.6,2
Multipurpose,2.6,2
Multipurpose,2.6,2
Multipurpose,2.6,2
Multipurpose,2.6,2
Multipurpose,2.6,3
Multipurpose,2.6,3
Multipurpose,2.6,3
Multipurpose,2.6,3
Multipurpose,2.6,3
Multipurpose,2.6,3
Multipurpose,2.6,3
Multipurpose,2.6,3
Multipurpose,2.6,3
Multipurpose,2.6,3
Multipurpose,2.6,3
Multipurpose,2.6,3
Multipurpose,2.6,3
Multipurpose,2.6,3
Multipurpose,2.6,3
Multipurpose,2.6,3
Multipurpose,2.99,0
Multipurpose,2.99,0
Multipurpose,2.99,0
Multipurpose,2.99,0
Multipurpose,2.99,1
Multipurpose,2.99,1
Multipurpose,2.99,1
Multipurpose,2.99,1
Multipurpose,2.99,1
Multipurpose,2.99,1
Multipurpose,2.99,1
Multipurpose,2.99,1
Multipurpose,2.99,2
Multipurpose,2.99,2
Multipurpose,2.99,2
Multipurpose,2.99,2
Multipurpose,2.99,2
Multipurpose,2.99,2
Multipurpose,2.99,2
Multipurpose,2.99,2
Multipurpose,2.99,2
Multipurpose,2.99,2
Multipurpose,2.99,2
Multipurpose,2.99,2
Multipurpose,2.99,2
Multipurpose,2.99,3
Multipurpose,2.99,3
Multipurpose,2.99,3
Multipurpose,2.99,3
Multipurpose,2.99,3
Multipurpose,2.99,3
Multipurpose,2.99,3
Multipurpose,2.99,3
Multipurpose,2.99,3
Multipurpose,2.99,3
Multipurpose,2.99,3
Multipurpose,2.99,3
Multipurpose,2.99,3
Multipurpose,2.99,3
Multipurpose,2.99,3
Multipurpose,2.99,3
Multipurpose,2.99,3
Multipurpose,2.99,3
Multipurpose,2.99,3
Multipurpose,2.99,3
Multipurpose,2.99,3
Multipurpose,2.99,3
Multipurpose,2.99,3
Multipurpose,2.99,3
Multipurpose,2.99,3
Multipurpose,2.99,3
Multipurpose,2.99,3
Multipurpose,2.99,3
Multipurpose,2.99,3
Multipurpose,2.99,3
Multipurpose,2.99,3
Multipurpose,2.99,3
Multipurpose,2.99,3
Multipurpose,2.99,3
Multipurpose,2.99,3
Multipurpose,2.99,3
Bathroom,1.48,0
Bathroom,1.48,0
Bathroom,1.48,0
Bathroom,1.48,0
Bathroom,1.48,0
Bathroom,1.48,0
Bathroom,1.48,0
Bathroom,1.48,0
Bathroom,1.48,0
Bathroom,1.48,0
Bathroom,1.48,0
Bathroom,1.48,0
Bathroom,1.48,0
Bathroom,1.48,0
Bathroom,1.48,0
Bathroom,1.48,0
Bathroom,1.48,0
Bathroom,1.48,0
Bathroom,1.48,0
Bathroom,1.48,0
Bathroom,1.48,0
Bathroom,1.48,0
Bathroom,1.48,0
Bathroom,1.48,0
Bathroom,1.48,1
Bathroom,1.48,1
Bathroom,1.48,1
Bathroom,1.48,1
Bathroom,1.48,1
Bathroom,1.48,1
Bathroom,1.48,1
Bathroom,1.48,1
Bathroom,1.48,1
Bathroom,1.48,1
Bathroom,1.48,1
Bathroom,1.48,1
Bathroom,1.48,1
Bathroom,1.48,1
Bathroom,1.48,1
Bathroom,1.48,1
Bathroom,1.48,1
Bathroom,1.48,1
Bathroom,1.48,1
Bathroom,1.48,1
Bathroom,1.48,1
Bathroom,1.48,1
Bathroom,1.48,1
Bathroom,1.48,1
Bathroom,1.48,1
Bathroom,1.48,1
Bathroom,1.48,1
Bathroom,1.48,1
Bathroom,1.48,1
Bathroom,1.48,1
Bathroom,1.48,1
Bathroom,1.48,1
Bathroom,1.48,2
Bathroom,1.48,2
Bathroom,1.48,3
Bathroom,1.48,3
Bathroom,1.8,0
Bathroom,1.8,0
Bathroom,1.8,0
Bathroom,1.8,1
Bathroom,1.8,1
Bathroom,1.8,1
Bathroom,1.8,1
Bathroom,1.8,1
Bathroom,1.8,1
Bathroom,1.8,1
Bathroom,1.8,1
Bathroom,1.8,1
Bathroom,1.8,1
Bathroom,1.8,1
Bathroom,1.8,1
Bathroom,1.8,1
Bathroom,1.8,1
Bathroom,1.8,1
Bathroom,1.8,1
Bathroom,1.8,1
Bathroom,1.8,1
Bathroom,1.8,2
Bathroom,1.8,2
Bathroom,1.8,2
Bathroom,1.8,2
Bathroom,1.8,2
Bathroom,1.8,2
Bathroom,1.8,2
Bathroom,1.8,2
Bathroom,1.8,2
Bathroom,1.8,2
Bathroom,1.8,2
Bathroom,1.8,2
Bathroom,1.8,2
Bathroom,1.8,2
Bathroom,1.8,2
Bathroom,1.8,2
Bathroom,1.8,2
Bathroom,1.8,2
Bathroom,1.8,2
Bathroom,1.8,2
Bathroom,1.8,2
Bathroom,1.8,2
Bathroom,1.8,2
Bathroom,1.8,2
Bathroom,1.8,3
Bathroom,1.8,3
Bathroom,1.8,3
Bathroom,1.8,3
Bathroom,1.8,3
Bathroom,1.8,3
Bathroom,1.8,3
Bathroom,1.8,3
Bathroom,1.8,3
Bathroom,1.8,3
Bathroom,1.8,3
Bathroom,2.1,0
Bathroom,2.1,0
Bathroom,2.1,0
Bathroom,2.1,0
Bathroom,2.1,0
Bathroom,2.1,0
Bathroom,2.1,0
Bathroom,2.1,0
Bathroom,2.1,0
Bathroom,2.1,0
Bathroom,2.1,0
Bathroom,2.1,1
Bathroom,2.1,1
Bathroom,2.1,1
Bathroom,2.1,1
Bathroom,2.1,2
Bathroom,2.1,2
Bathroom,2.1,2
Bathroom,2.1,2
Bathroom,2.1,2
Bathroom,2.1,2
Bathroom,2.1,2
Bathroom,2.1,2
Bathroom,2.1,2
Bathroom,2.1,2
Bathroom,2.1,2
Bathroom,2.1,2
Bathroom,2.1,2
Bathroom,2.1,2
Bathroom,2.1,2
Bathroom,2.1,2
Bathroom,2.1,2
Bathroom,2.1,2
Bathroom,2.1,2
Bathroom,2.1,2
Bathroom,2.1,3
Bathroom,2.1,3
Bathroom,2.1,3
Bathroom,2.1,3
Bathroom,2.1,3
Bathroom,2.1,3
Bathroom,2.1,3
Bathroom,2.1,3
Bathroom,2.1,3
Bathroom,2.1,3
Bathroom,2.1,3
